Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1665686725,639466274,0,0,0,0,0,0,0,0,0,0,79.50701904296875,15.421027183532715,-262.16253662109375,0.9998530149459839,0.012850643135607243,0.011351198889315128,2.1423566920475423e-08,1665686725,618554647,-25.300827555366013,2.217294898621901,11.051984299293544,0.7115015153676849,0.7027142026280951,0.008601172567504674,-0.0016908329554168218,1665686725,570185080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686725,604511725
1665686726,139334263,0,0,0,0,0,0,0,0,0,0,79.11529541015625,15.08098316192627,-262.24755859375,0.9998476505279541,0.011247634887695312,0.01334723923355341,-2.048494174289317e-08,1665686726,133260279,-25.254454336222224,2.2842588642751593,11.129227092996793,0.7111328069570805,0.7030882074822705,0.008505881372924661,-0.0017770348236338992,1665686725,870179678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686726,104439438
1665686726,639444326,0,0,0,0,0,0,0,0,0,0,79.5843505859375,15.142250061035156,-262.5107727050781,0.9998704195022583,0.011560441926121712,0.011196823790669441,-9.314432558582553e-10,1665686726,627177158,-25.133144851917706,2.160572864712492,11.056635631033465,0.7114011468468153,0.7028301431480799,0.007945669048247048,-0.0023223182078312508,1665686726,470208767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686726,604430113
1665686727,139452369,0,0,0,0,0,0,0,0,0,0,79.28976440429688,15.22484016418457,-262.4088439941406,0.9998494386672974,0.011715471744537354,0.012801469303667545,-1.8629255915669773e-09,1665686727,119449651,-25.235718265624456,2.2339155242165134,11.186433383182965,0.7110082253668506,0.7032145959841084,0.008458431023507813,-0.0018209153719687884,1665686727,70091436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686727,104399480
1665686727,639150174,0,0,0,0,0,0,0,0,0,0,79.79271697998047,15.145856857299805,-262.169189453125,0.9998860359191895,0.011552872136235237,0.00971001386642456,2.7007795111444466e-08,1665686727,633366900,-25.145901175086607,2.277168133093994,11.12729131872613,0.711260272263636,0.7029611894425009,0.008234249618502857,-0.002041399577221119,1665686727,369964048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686727,604383045
1665686728,139395856,0,0,0,0,0,0,0,0,0,0,79.52010345458984,15.312125205993652,-262.3454895019531,0.9998583793640137,0.012387692928314209,0.011391342617571354,-6.520181283775628e-09,1665686728,125761652,-24.941960706487762,2.186769531060065,11.058563442249671,0.7114481994039422,0.7027784372412597,0.00725501774969247,-0.0029900806977383758,1665686727,970093047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686728,104365199
1665686728,639325096,0,0,0,0,0,0,0,0,0,0,79.62360382080078,15.231592178344727,-262.4371643066406,0.999872088432312,0.011528612114489079,0.01108071394264698,-2.5148926496854074e-08,1665686728,635111561,-25.077991966820235,2.332917553659115,11.160740559939434,0.7112688367556713,0.7029566436143596,0.008018303564346775,-0.002250092782903423,1665686728,570070475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686728,604371875
1665686729,139375421,0,0,0,0,0,0,0,0,0,0,79.1698226928711,15.03617000579834,-260.7472229003906,0.9997703433036804,0.014500140212476254,0.015782922506332397,-1.1178437731018676e-08,1665686729,128244193,-25.186705194570948,2.2611621306352845,11.183211704371935,0.7111937329180558,0.7030255087303928,0.00830229243791514,-0.0019746338784357026,1665686728,870191847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686729,104362025
1665686729,639361760,0,0,0,0,0,0,0,0,0,0,79.63533782958984,15.193130493164062,-259.1069030761719,0.9997602105140686,0.013429582118988037,0.017300546169281006,-2.9802192713646036e-08,1665686729,626422777,-25.06040861249788,0.15405514737943804,10.973254789900658,0.7103700886569079,0.7038273448588321,0.010617379043488492,0.00027420316670848273,1665686729,469986059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686729,604323371
1665686730,139320277,0,0,0,0,0,0,0,0,0,0,79.79763793945312,15.164758682250977,-258.29925537109375,0.9997544884681702,0.012333156540989876,0.01840222254395485,-1.1171337632731593e-08,1665686730,135678332,-24.898328130481758,-1.2555064155582158,11.084496166180635,0.7114235222152684,0.7027374334363305,0.01220166806481426,0.0017877287589715442,1665686730,70114911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.010927500000000001,1665686730,104304077
